p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,lr1,lr2,lr3,lr4,lr5,lr6
0.6928,0.9608,1.104,1.2047,1.2789,1.342,1.4042,1.4552,1.5038,1.5608,1.6357,1.7501,2.083,2.0608,2.0086,1.9623,1.9129,1.8708,1.827,1.7848,392.53,-0.0032,-0.730926786,-0.855989374,1.233226284,-1.428879238,-0.98636872,-1.162365856
0.786,1.0581,1.2026,1.3067,1.3912,1.4639,1.5448,1.6389,1.7656,2.1078,2.0608,2.006,1.9571,1.9058,1.8587,1.8157,1.77,1.7322,1.6977,1.6617,394.96,-0.0067,-0.575761692,-0.849404817,0.575033612,-0.327562721,-0.536407848,-0.331431269
0.8671,1.14,1.2928,1.3997,1.4933,1.5859,1.7248,2.1124,2.073,2.0241,1.9695,1.9163,1.8747,1.8305,1.7894,1.755,1.7162,1.686,1.6585,1.628,398.96,0.0035,-0.520974833,-0.512823629,-0.030155676,0.083279039,0.119500573,-0.112393226
0.9335,1.2032,1.3592,1.4807,1.5982,1.7487,2.1203,2.074,2.0071,1.9677,1.9168,1.8764,1.8355,1.7996,1.7666,1.7289,1.7042,1.6783,1.6563,1.637,404.62,-0.0008,-0.602485194,-0.369018595,-0.54198185,0.847298135,0.439300341,0.183064118
0.9935,1.2611,1.4312,1.5627,1.7139,2.1388,2.0821,2.0273,1.9765,1.9386,1.893,1.8563,1.8235,1.79,1.7648,1.7356,1.7151,1.695,1.6742,1.6582,412.2,0.0077,-0.385742585,-0.198683423,-0.487939579,0.691682465,0.649600731,0.462630727
0.8191,1.0972,1.255,1.3627,1.4644,1.5703,1.6829,1.9511,2.0934,2.0386,1.9929,1.9485,1.906,1.8621,1.8231,1.7842,1.7524,1.7181,1.6911,1.6597,400.71,0.004,-0.677494381,-0.478395272,0.05763335,0.390792654,0.011715083,0.362489083
0.8659,1.136,1.2878,1.3976,1.4991,1.6002,1.7246,2.111,2.0701,2.0179,1.9672,1.917,1.8748,1.8337,1.789,1.7516,1.7184,1.6857,1.6524,1.6305,399.84,-0.0083,-0.356057687,-0.482000718,-0.184790471,0.130609221,-0.096674251,-0.02096268
0.9034,1.1689,1.3216,1.4268,1.5192,1.624,1.7563,2.1224,2.0635,2.0003,1.9484,1.8949,1.8478,1.8047,1.7616,1.7204,1.6919,1.6558,1.6262,1.6031,400.38,0.0058,-0.362399128,-0.425226289,-0.100100318,-0.300171065,0.011715083,0.115313285
0.9381,1.1984,1.3425,1.4466,1.5351,1.6395,1.7867,2.1065,2.0439,1.9844,1.9257,1.877,1.825,1.7835,1.7368,1.701,1.667,1.6346,1.6045,1.5836,400.5,-0.0046,-0.557030988,-0.578874097,-0.011599285,-0.208409822,-0.205674232,-0.238877783
0.8579,1.1225,1.2654,1.3723,1.4578,1.5348,1.6146,1.7114,1.8898,2.0712,2.0079,1.9582,1.9114,1.8706,1.8325,1.7876,1.7494,1.717,1.687,1.6573,400.55,0.0135,-0.897515541,-0.708832747,-0.175339235,-0.747755619,-0.98636872,-0.825348681
0.8596,1.1263,1.2788,1.3849,1.477,1.5603,1.6488,1.7793,2.097,2.0429,1.9949,1.9439,1.9012,1.8568,1.8131,1.7708,1.7338,1.7009,1.672,1.6443,400.67,0.0043,-0.925381102,-0.414525737,-0.596365281,-0.262235706,-0.647920811,-0.659190416
0.8662,1.1376,1.2891,1.3978,1.4952,1.5897,1.7206,2.1081,2.0675,2.0169,1.9686,1.9184,1.8729,1.8275,1.785,1.7506,1.7135,1.6851,1.6554,1.6303,400.84,-0.0005,-0.438883747,-0.598107493,0.248576073,-0.01306215,0.226688911,-0.043776565
0.8701,1.1426,1.2994,1.4202,1.5198,1.6397,1.8516,2.1121,2.0544,2.0071,1.9566,1.896,1.8512,1.8114,1.7733,1.7406,1.7023,1.6731,1.6435,1.618,399.48,0.0015,-0.192830654,-0.281067157,0.501123686,0.457866034,0.649600731,0.495887145
0.8615,1.1355,1.2908,1.3984,1.498,1.5914,1.7223,2.1068,2.0713,2.0184,1.9707,1.9238,1.8696,1.8297,1.7869,1.7512,1.7169,1.6844,1.6572,1.6305,401.33,0.014,-0.479307445,-0.545090187,0.062229136,-0.111490407,0.119500573,-0.066619568
0.8635,1.1349,1.2903,1.4011,1.4994,1.5884,1.7269,2.1138,2.0656,2.0103,1.9631,1.9096,1.8617,1.814,1.7736,1.7377,1.7022,1.6681,1.6391,1.6143,400.13,0.1019,0.176956748,0.262326885,0.048434416,0.066450975,-0.205674232,-0.066619568
0.8631,1.1389,1.2878,1.3963,1.4967,1.5901,1.7282,2.1023,2.0689,2.0133,1.9553,1.9033,1.8504,1.8024,1.7633,1.724,1.6881,1.6594,1.6249,1.6011,399.68,0.2058,0.530202667,0.711804266,-0.109469326,-0.105837753,-0.096674251,0.035945127
0.6233,0.8987,1.0475,1.1494,1.2347,1.2939,1.3455,1.4014,1.4526,1.4985,1.5514,1.6103,1.7025,1.8577,2.072,2.0291,1.9834,1.9406,1.9006,1.8606,391.78,-0.0178,-1.068263884,-0.965771049,1.099848795,-1.485488514,-1.681561308,-1.113830259
0.924,1.1994,1.3654,1.4908,1.606,1.7541,2.1205,2.067,2.0198,1.9849,1.9394,1.9049,1.8746,1.8398,1.8084,1.7793,1.7543,1.7364,1.7118,1.697,409.61,-0.0049,-0.608522946,-0.345569348,-0.546911637,0.184899664,0.649600731,0.137925405
0.7272,0.9847,1.1209,1.2111,1.2791,1.3337,1.3743,1.4179,1.4555,1.4863,1.5177,1.5535,1.6044,1.658,1.7366,1.8833,2.0534,2.0079,1.9626,1.9234,391.96,0.0008,-1.345642635,-2.016637682,2.210389748,-2.327384171,-1.799894677,-2.187502327
1.0342,1.2968,1.4534,1.576,1.707,2.0039,2.0679,2.0102,1.9599,1.9111,1.8641,1.8254,1.7898,1.7552,1.7352,1.7081,1.683,1.6695,1.6544,1.6397,409.27,0.0073,-0.574412812,-0.307620477,-1.450737007,-0.030090261,0.119500573,0.183064118
0.654,0.9247,1.0781,1.1909,1.2764,1.351,1.4181,1.4816,1.5628,1.666,1.886,2.1011,2.0537,2.0083,1.9602,1.9154,1.8717,1.8273,1.787,1.7451,391.9,0.0017,-0.291575761,-0.952843018,1.309092926,-0.400375955,-0.205674232,-0.261971322
0.9324,1.2193,1.3871,1.533,1.6938,2.1536,2.1074,2.0555,2.0151,1.9714,1.9314,1.8961,1.8547,1.8291,1.8019,1.7777,1.751,1.7277,1.7108,1.6917,409.43,-0.0018,-0.112916443,-0.310875502,-0.222699448,0.97098881,0.960826404,1.23358511
0.7492,1.0071,1.145,1.2367,1.3135,1.3805,1.4406,1.4949,1.5567,1.63,1.7578,2.1154,2.0619,2.0092,1.9591,1.9052,1.8617,1.8146,1.7704,1.725,390.1,0.022,-0.581163613,-1.417722801,1.68252426,-0.841720098,-0.647920811,-0.47116515
1.0446,1.3179,1.4837,1.6291,1.8815,2.111,2.0514,1.9972,1.944,1.8899,1.8471,1.8119,1.7811,1.7503,1.7232,1.6984,1.6779,1.6609,1.6462,1.6342,409.93,0.0112,-0.168670191,-0.435455641,-0.448847958,1.064163169,1.063465613,1.350112538
0.6346,0.8964,1.0499,1.1521,1.2279,1.2938,1.348,1.4018,1.4493,1.4977,1.5547,1.614,1.6919,1.8368,2.0721,2.0228,1.9701,1.9219,1.8778,1.83,390.07,0.2043,0.112831511,0.154504364,1.075374912,-1.620337147,-1.681561308,-1.630139823
0.9237,1.2007,1.3637,1.4873,1.6107,1.7602,2.1141,2.0635,2.0164,1.9735,1.9348,1.8915,1.8605,1.8237,1.7924,1.7681,1.7414,1.7204,1.7001,1.6813,410.33,0.1984,0.353112387,0.729116369,-1.347303713,0.032606294,0.119500573,0.070003159
0.7256,0.9826,1.1196,1.2154,1.2755,1.3277,1.371,1.4158,1.4444,1.4814,1.5173,1.5516,1.5951,1.6421,1.709,1.8149,2.034,2.008,1.9569,1.9036,388.36,0.2017,-0.027859524,-0.026890204,2.481772258,-2.313330052,-2.525508922,-2.525200843
1.0346,1.2953,1.4551,1.5747,1.7042,1.9957,2.0678,2.0077,1.9519,1.8905,1.8464,1.8039,1.7695,1.7372,1.7115,1.6885,1.6676,1.6492,1.636,1.626,410.17,0.1916,0.241044762,0.742918203,-1.023380888,0.046549489,-0.096674251,0.183064118
0.6535,0.9237,1.078,1.1867,1.2722,1.3531,1.4213,1.4898,1.5643,1.6664,1.8781,2.0985,2.0426,1.9899,1.94,1.8935,1.8419,1.8001,1.7575,1.7111,388.75,0.2002,0.437468621,0.573256716,1.249253826,-0.169318843,-0.536407848,-0.13532403
0.9337,1.2217,1.3907,1.5302,1.695,2.1542,2.1006,2.0539,2.006,1.9648,1.9198,1.8841,1.85,1.8163,1.7893,1.7593,1.7343,1.7141,1.6966,1.6811,408.69,0.1996,0.801438374,0.881901455,-0.29423156,0.897283602,1.063465613,1.201672786
0.7498,1.0026,1.1476,1.2411,1.3187,1.3803,1.4391,1.4892,1.5466,1.6234,1.7424,2.1118,2.0584,1.9943,1.9353,1.8769,1.8221,1.7676,1.7173,1.6723,390.12,0.2032,0.404052677,0.378118622,2.022159714,-0.744800723,-0.98636872,-0.81342894
1.0461,1.3197,1.481,1.6308,1.8772,2.1101,2.0391,1.982,1.9278,1.879,1.8381,1.7991,1.7617,1.7305,1.7031,1.6828,1.6615,1.6459,1.6309,1.621,410.19,0.1909,0.750900428,0.820109115,-0.366362608,1.252629473,1.36815609,1.297239559
1.0416,1.3202,1.488,1.64,1.8861,2.1008,2.0441,2.0063,1.9595,1.9272,1.882,1.852,1.8178,1.7942,1.7691,1.7507,1.7311,1.7169,1.701,1.6877,415.35,0.018,-0.179634442,-0.074510371,-1.314896899,0.893675545,0.649600731,0.650271876
1.0843,1.3682,1.5485,1.7253,2.1302,2.0851,2.0399,1.9933,1.9541,1.9188,1.8857,1.8556,1.8298,1.8061,1.7859,1.7702,1.7533,1.7436,1.7315,1.722,420.47,-0.0024,-0.214989433,0.012609112,-1.13880626,1.191485521,1.165563187,1.297239559
1.1693,1.4558,1.6584,2.0532,2.1072,2.076,2.0238,1.9921,1.9576,1.9257,1.9031,1.8817,1.8605,1.8408,1.8311,1.8151,1.8084,1.8004,1.7872,1.7861,428.08,0.0022,-0.235867584,0.07046099,-1.538812419,1.458230624,1.36815609,1.528721203
1.2379,1.5282,1.7789,2.1335,2.0985,2.0578,2.0286,1.9942,1.9669,1.9487,1.9289,1.9102,1.8959,1.888,1.8738,1.8693,1.8632,1.8547,1.8519,1.8454,440.95,0.0016,-0.191146206,0.322941362,-2.081161805,1.523411164,1.865547119,1.715913396
1.2954,1.6008,1.9782,2.1247,2.087,2.0617,2.0378,2.0133,1.9881,1.9709,1.9603,1.949,1.9353,1.9294,1.9203,1.9158,1.9139,1.9136,1.8999,1.8986,449.89,-0.0046,0.002193649,0.408221048,-2.653663086,2.303008411,2.157957402,2.114902268
0.5205,0.8201,1.0036,1.1357,1.2327,1.3314,1.4292,1.5281,1.6506,1.8981,2.1192,2.0985,2.0706,2.0528,2.0277,2.0045,1.9803,1.9607,1.9394,1.9205,399.95,-0.015,-0.257589312,-0.515370832,-0.104783548,0.223316327,0.333286676,0.261783964
0.6264,0.9183,1.093,1.2163,1.3245,1.42,1.5171,1.6318,1.8383,2.1152,2.0855,2.0543,2.0246,1.9944,1.9692,1.936,1.9068,1.8849,1.8584,1.8343,400.53,-0.0094,-0.330655327,-0.340459455,-0.323011546,0.151120347,0.011715083,0.295415337
0.7044,0.9892,1.1553,1.2832,1.3852,1.4887,1.5853,1.7295,2.1327,2.0912,2.0546,2.0218,1.9811,1.9479,1.9114,1.8786,1.8486,1.821,1.7911,1.7643,402.21,-0.0007,-0.390253729,-0.543361174,-0.198986796,0.320154863,0.119500573,0.228089275
0.7692,1.0485,1.214,1.3314,1.422,1.5256,1.6337,1.828,2.1068,2.0664,2.0214,1.978,1.936,1.9037,1.8647,1.8297,1.7956,1.7624,1.7354,1.7109,399.39,-0.0253,-0.451679511,-0.594243073,-0.443973954,0.204652648,0.226688911,-0.032365988
0.9684,1.2216,1.364,1.4641,1.5506,1.6572,1.8122,2.1003,2.0409,1.9706,1.9186,1.8606,1.812,1.7652,1.7245,1.6836,1.6481,1.6178,1.5918,1.568,401.81,-0.0068,-0.277915114,-0.455830685,0.306829827,-0.118798679,-0.096674251,-0.055194423
0.9974,1.2396,1.3833,1.4825,1.5704,1.6564,1.8124,2.0888,2.0232,1.9635,1.9055,1.8478,1.7965,1.7505,1.7076,1.6684,1.638,1.6056,1.578,1.5554,398.88,-0.0211,-0.679392658,-0.660875727,0.417761069,-0.170017522,0.011715083,-0.389521194
0.8396,1.1008,1.2394,1.3428,1.4097,1.4721,1.5216,1.5736,1.624,1.6826,1.7573,1.8675,2.0027,1.9769,1.9333,1.8847,1.8454,1.8045,1.7704,1.7368,400.09,-0.0009,-1.582262502,-0.9258342,-0.863317047,-2.332156572,-2.402667586,-2.498996607
0.8466,1.1105,1.2534,1.3472,1.4256,1.501,1.5473,1.6107,1.6798,1.7855,1.9675,2.0142,1.9691,1.9253,1.8783,1.839,1.7998,1.7631,1.7252,1.6947,400.2,-0.0053,-1.274925319,-1.023872821,-0.863317047,-1.97643436,-1.681561308,-1.893989668
0.8503,1.108,1.2601,1.3617,1.4384,1.5061,1.5834,1.6585,1.7639,1.9897,2.0391,1.9896,1.9372,1.8952,1.8472,1.8096,1.772,1.7377,1.6992,1.674,401.78,0.005,-1.100987383,-1.218690603,-0.817398543,-1.162938405,-1.447043947,-1.35783527
0.8807,1.1523,1.3165,1.4345,1.549,1.6963,2.1544,2.0969,2.0444,1.9834,1.9343,1.8898,1.8387,1.7988,1.7626,1.7247,1.6921,1.6627,1.6385,1.608,399.53,-0.0102,-0.097476194,-0.211151105,0.544676869,0.869409068,1.165563187,1.008994593
0.8802,1.1631,1.3222,1.4534,1.5821,1.7665,2.1437,2.0793,2.0267,1.9734,1.9272,1.8787,1.8334,1.794,1.754,1.7154,1.6855,1.6559,1.6244,1.603,397.87,-0.0045,0.171476279,-0.163204776,0.89791405,1.22524007,1.165563187,0.955102682
0.895,1.1734,1.3405,1.4856,1.6411,2.1835,2.1186,2.0588,2.0043,1.9517,1.9102,1.8597,1.8209,1.7783,1.7376,1.707,1.6702,1.6451,1.6161,1.593,401.53,-0.0225,0.552273485,0.037415724,1.277230472,1.915338458,1.767086624,1.736592185
0.8623,1.1358,1.2905,1.4008,1.5012,1.5999,1.723,2.1108,2.0651,2.0124,1.9466,1.8919,1.8403,1.7951,1.7488,1.7103,1.6743,1.6413,1.6091,1.5849,400.2,0.38,1.179552495,1.298837384,0.176334131,-0.032425641,-0.096674251,0.194331031
0.8638,1.1398,1.2921,1.4028,1.4964,1.5945,1.7211,2.1,2.0603,2.003,1.9411,1.8899,1.8358,1.7882,1.7444,1.7011,1.6688,1.634,1.6032,1.5802,401.72,0.5017,1.377231352,1.460182851,0.126314031,0.092200199,0.011715083,-0.227342178
0.8628,1.1354,1.2927,1.4008,1.4983,1.6011,1.7181,2.1034,2.0644,2.0014,1.9413,1.8857,1.8334,1.7831,1.7403,1.7011,1.6639,1.6323,1.6034,1.5769,400.22,0.5991,1.662509045,1.743722302,0.053035111,-0.011636855,0.011715083,0.070003159
0.8622,1.1355,1.2907,1.3959,1.4976,1.5966,1.7185,2.0985,2.0678,2.0008,1.9375,1.882,1.8256,1.7781,1.7339,1.6935,1.6568,1.6238,1.5972,1.5736,400.04,0.7875,2.107394108,2.090478062,-0.048752124,0.089069847,0.226688911,0.228089275
0.8645,1.1369,1.2938,1.3982,1.4959,1.5931,1.7257,2.0956,2.0587,1.9959,1.9358,1.8749,1.8252,1.7719,1.7278,1.689,1.6521,1.619,1.593,1.5644,399.14,1.0134,2.597052344,2.447718033,0.117188182,-0.0067142,-0.205674232,0.001822161
0.8628,1.1357,1.2864,1.3989,1.5007,1.5977,1.7203,2.1024,2.0598,1.9949,1.935,1.8747,1.8217,1.7715,1.7259,1.6846,1.6492,1.615,1.5875,1.5652,401.94,1.1874,2.948194736,2.669887111,0.33358389,-0.247915049,0.011715083,-0.192779908
0.8648,1.1365,1.287,1.398,1.4964,1.5946,1.7273,2.0938,2.0594,1.9916,1.9325,1.8685,1.8182,1.7673,1.7196,1.6791,1.6405,1.6108,1.5826,1.5588,397.97,1.508,3.340708619,2.988300105,0.221556288,-0.080124588,0.011715083,-0.285094698
