Boron,Barium,Calcium,Potassium,Magnesium,Manganese,Phosphorus,Rubidium,Zinc,Country
0.298,0.237,109.1,1802,102.3,0.453,122.2,2.98,0.323,0
0.288,0.236,108.4,1797,102.3,0.455,121.9,2.99,0.328,0
0.421,0.271,43.4,1634,85.1,0.16,124.9,7.26,0.277,0
0.434,0.117,53.4,1504,84.5,0.265,135.5,2.35,0.397,0
0.578,0.145,82.9,1486,94.5,0.33,148.6,1.98,0.356,0
0.575,0.144,81.8,1464,93.8,0.327,147.6,1.96,0.365,0
0.811,0.196,266.2,1761,113,0.36,194.5,5.28,0.477,0
0.794,0.193,270.4,1731,113.2,0.353,192.9,5.23,0.439,0
0.181,0.092,31.2,1233,64.3,0.253,52.4,1.89,0.306,1
0.733,0.034,34.7,1640,69.4,0.132,103.4,1.37,0.244,1
0.514,0.026,28.9,1753,61.9,0.119,104.1,1.44,0.232,1
0.504,0.04,36.7,1759,73.2,0.133,124.3,2.99,0.194,1
0.744,0.04,43.3,1814,76.8,0.149,125.3,1.45,0.291,1
0.771,0.045,43.3,1793,77.2,0.151,125.4,1.45,0.305,1
0.453,0.059,42,1819,81.5,0.172,121.1,3.11,0.279,1
0.445,0.054,40.3,1779,81.1,0.168,120,3.11,0.265,1
0.127,0.077,39,1570,98.1,0.136,80.4,1.18,0.276,1
0.431,0.084,44,1564,86.1,0.2,95.6,1.11,0.268,1
0.433,0.084,44.4,1585,87.3,0.202,96.6,1.1,0.273,1
0.609,0.065,39.7,1553,81.9,0.126,89.7,2.14,0.247,1
0.604,0.068,38.6,1518,80.9,0.125,88.9,2.12,0.231,1
0.41,0.073,48.1,1713,119.4,0.176,119.5,1.82,0.479,1
0.404,0.073,45.3,1693,119.4,0.172,117.7,1.85,0.464,1
0.564,0.048,34.5,1128,76.6,0.114,95.6,0.83,0.174,1
0.554,0.051,33.4,1130,76.6,0.112,94.8,0.8,0.17,1
1.013,0.05,102.6,1555,75,0.135,132.1,0.22,0.27,2
1.017,0.05,95,1559,74.3,0.13,132.5,0.26,0.261,2
1.491,0.032,111.5,1462,70.5,0.157,115.1,0.59,0.225,2
1.5,0.031,109.7,1456,70.5,0.156,114.3,0.6,0.22,2
0.795,0.089,389.5,1305,74.6,0.217,126.9,0.26,0.411,2
0.805,0.087,399.7,1327,76.2,0.217,127.4,0.23,0.393,2
0.44,0.709,64.7,1549,93.6,0.162,157.5,2.74,0.355,3
0.417,0.646,79.8,1420,84.7,0.148,144.3,2.48,1.045,3
0.402,0.633,77,1387,82.2,0.15,143.7,2.48,1.05,3
0.754,0.472,76.4,1507,91.6,0.542,170.6,4.12,0.324,3
0.758,0.471,75.5,1484,90.7,0.544,171.9,4.08,0.337,3